distance,consume,speed,temp_inside,temp_outside,price_per_liter,AC,rain,sun,gas_type,amount_per_consumption,amount_per_km,temp_spread
12.3,5.7,52,21.5,8,1.46,0,1,0,1,8.322,0.6765853658536585,13.5
2.9,7.9,18,21.5,9,1.46,1,1,0,1,11.534,3.977241379310345,12.5
2.1,12.2,23,21.5,9,1.46,1,1,0,1,17.811999999999998,8.48190476190476,12.5
9.8,5.8,24,21.5,6,1.46,0,0,0,1,8.468,0.8640816326530611,15.5
6.8,5.3,26,21.5,6,1.46,0,0,0,1,7.7379999999999995,1.1379411764705882,15.5
12.4,5.4,24,21.5,7,1.46,0,0,0,1,7.884,0.6358064516129033,14.5
12.4,4.7,57,21.5,8,1.46,0,0,0,1,6.862,0.5533870967741935,13.5
11.8,4.6,41,21.5,6,1.46,0,0,0,1,6.715999999999999,0.5691525423728813,15.5
12.3,5.4,55,21.5,8,1.46,0,0,0,1,7.884,0.6409756097560976,13.5
14,4.3,40,21.5,8,1.46,0,0,0,1,6.278,0.4484285714285714,13.5
11.8,4.5,37,21.5,4,1.46,1,0,0,1,6.57,0.5567796610169491,17.5
12.3,5.2,55,21.5,12,1.46,0,0,0,1,7.592,0.6172357723577235,9.5
2,6.2,20,21.5,10,1.46,0,0,0,1,9.052,4.526,11.5
13.9,5.1,29,21.5,6,1.46,0,0,0,1,7.446,0.5356834532374101,15.5
9.7,3.9,42,21.5,8,1.46,0,0,0,1,5.694,0.5870103092783505,13.5
11.6,5,25,21.5,6,1.46,0,0,0,1,7.3,0.6293103448275862,15.5
14.2,5.4,38,21.5,7,1.46,0,0,0,1,7.884,0.5552112676056339,14.5
11.8,4.5,39,21.5,6,1.46,0,0,0,1,6.57,0.5567796610169491,15.5
24.8,5.1,50,21.5,9,1.46,0,0,0,1,7.446,0.30024193548387096,12.5
12.4,4.7,56,21.5,7,1.46,0,0,0,1,6.862,0.5533870967741935,14.5
34.8,4,28,20,4,1.46,0,0,0,1,5.84,0.167816091954023,16.0
14.2,5.4,36,20,6,1.46,0,0,0,1,7.884,0.5552112676056339,14.0
5.2,4.5,39,20,10,1.46,0,0,0,1,6.57,1.2634615384615384,10.0
10.5,3.6,42,20,10,1.46,0,0,0,1,5.256,0.5005714285714286,10.0
12.3,5.2,57,20,10,1.46,0,0,0,1,7.592,0.6172357723577235,10.0
11.8,4.9,25,20,11,1.46,0,0,0,1,7.154,0.6062711864406779,9.0
12.3,6.2,58,20,11,1.46,0,1,0,1,9.052,0.7359349593495934,9.0
